work_id,rank,title,writer,form_of_publishment,retrieved_date,platform,filter,synopsis_summary
W001,1,임신한 척했는데 남편이 돌아왔다,별별토,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"원작이 시작되기 전, 빚만 잔뜩 끌어안은 귀족 나부랭이로 환생했다.
암흑가 정보 길드에 소소한 정보를 팔아 버텼지만 그것도 한계가 있다.

하지만 원작이 막 시작되려는 이 때!
악당 공작가에서 실종된 장남의 사망 신고를 미루기 위해 
임신한 척을 해 줄 가짜 계약 며느리를 찾는다는 건 알고 있지.
내가 몇 달만 그 역할을 잠시 해 주면 큰 돈을 벌 수 있다.

정말 얌전히 돈값하는 가짜 며느리로 살 생각이었는데...

""이대로 여기 계속 있으면 에키안의 상속분을 다 너 주마.""
시아버지인 공작님도 나를 너무 좋아하고

""왜 뭐든 돈으로 해결해요? 아예 입양을 하고 재가를 시키는 건 어때요?""
시어머니인 공작 부인은 호적을 막장으로 바꾸려 하신다.

""우리 형하고 결혼한 거 맞죠? 형이 돌아오면 안 떠날 거죠?""
원작 악당인 어린 시동생 역시 내게 매달리는데!

그 와중에...

""조금 시간을 때우다가, 이혼시켜주시고 시부모님께서 직접 좋은 재가 자리를 알아봐 주신다고 하시네요.""
""...재가요? 다시 결혼을 한단 말씀이십니까?""

예전에 정보를 팔아왔던 정보길드장이 조금 이상하다.

""그 남편... 아마 돌아올 겁니다.""

무슨 소리야. 원작에 따르면 공작가의 장남은 계속 행방불명인 채인데.


***


""에.... 에키안? 에키안, 너 맞니?""
""너.... 돌아왔니? 돌아온 거야? 어?""

말도 안 돼.
이 집 장남은 절대 안 돌아오는데!

""네.""

공작가로 서슴없이 걸어들어오는 저 미남은 대체 누구지?

""제가 결혼을 했더군요. 아내는 어디 있습니까?""

뭐야, 갑자기 존잘 남편까지 생겨버렸네!"
W002,2,힘을 숨기고 즐기는 평화로운 하녀 생활,박귀리,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"영웅 안데르트.
스스로를 희생해 대전쟁을 끝마친 위대한 검사.
희대의 영웅 중 한 명.

...이지만 실상은 죽은 남동생의 신분을 사용한 남장 여자.
그게 바로 나였다.
그런데.

""어?""

죽은 후 4년이 지나서 되살아났다?
가진 것이라고는 몸뚱아리뿐이니 먹고살기 위한 길은 단 하나.

하녀.

“하녀로 일한 경력이 없는데, 그동안 어떤 일을 했죠?”
“백수.”
“이 직종에 지원하게 된 계기는요?”
“돈.”
“어떤 저택에서 일하고 싶으시죠?”
“둘이 일하다 하나 죽어도 모를 만큼 힘들고 고약한 저택.”
“어떤 고용주를 원하시나요?”
“고용인을 쥐어짜는 악독한 고용주.”

그래야 일할 사람이 나밖에 없어서 잘리지도 않거든.

“…….”

면접관은 미친X을 감상하는 시선으로 나를 바라봤다.


_


이곳에서 나는 새롭게 시작할 것이다.
영웅 안데르트도, 죽은 남동생도 아닌.
하녀 데이지로.

#마법사남주 #막가파여주 #성장물 #집착"
W003,3,군의관이 계약직 대공비를 너무 잘함,묘묘희,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"이벨은 최전방의 군의관이었다.
내과의였지만, 참혹한 전쟁을 겪으며 노련한 의사로 거듭난.
결국 제 상관을 지키다 전쟁터에서 전사한 게 문제라면 문제지만.

분명 죽었었는데, 과거로 돌아온 사실을 깨달은 지 사흘째.

[계약직 대공비 구함]
※지원 조건
- 내과 전문의
- 최소 학력, 왕립 세인트 앨번 의약학 대학 졸업
- 수석 졸업자 우대
- 군의관 출신 환영
※특이사항
- 조카가 둘 있습니다.
- 주치의로 아이들의 건강을 살펴 주셔야 합니다.

지금은 그녀를 몰라야 할 전 상관이, 정확히 그녀를 콕 집어서 찾는 공고문이 올라왔다. 

***

“제가 아이를 낳지는 않아도 됩니까?”
“…후계자는 필요 없네. 조카 중 하나에게 물려줄 생각이니.”
“그거 다행이군요. 아이를 낳기는 싫어서요.”
“나를 사랑하려고 노력하지 않아도 돼. 그런 척만 하면 되지.”

모두 지금의 그녀에게 너무나 유혹적인 제안이었다.
그리고 생각보다… 계약직 대공비는 너무나도 적성에 맞는 일이었다."
W004,4,나는 이 빙의를 끝내려 한다,신솔라,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"다나에 윈저'의 몸에 빙의한 연다나.
원래 세계로 돌아가는 방법은 차원의 문을 통과하는 길뿐이다.

그러나 사랑하는 사람들이 울며 매달렸기에 돌아가는 것을 포기하고 말았다.
100년에 한번 열리는 문을 앞두고.

***

3년 후.
다나를 붙잡았던 모든 이들이 돌변했다.

""난 너와의 결혼을 깰 생각 없다. 다만 그녀와도 결혼할 생각이다.""
당당하게 불륜을 저지르는 약혼자,

""그냥 장난으로 잡은건데요? 설마 진짜 안 돌아갈 줄은 몰랐습니다.""
이제 와서 장난으로 붙잡았다고 고백하는 남동생,

""누가 널 억지로 묶어서 못 떠나게 막기라도 했니?""
무책임하게 조롱하는 사촌 오빠까지.

“차원의 문은 닫혔어. 다나 넌 이제 못 떠나!
그러니 얌전히 이 세계에 적응해!""

그러나 다나는 알고 있다.
이 빙의를 끝내고 돌아가는 방법을.
사랑에 배신당해 슬퍼하던 것도 잠시, 
다나는 분노에 불타오르며 복수와 탈출을 준비한다.

'이 개자식들이 날 속였다는거지.'

정말이지.
이번만큼은 착하게 살아보고 싶었는데.

'너넨 사람 잘못 건드린거야.'

그녀는 본래의 세계로 돌아가기로 결정한다.
그들이 다나가 영원히 곁에 머물거라고 믿는 순간에.

※ 본 작품에 등장하는 주요 인물들과 여주인공은 혈연 관계가 아님을 밝힙니다."
W005,5,아빠를 교체하는 법,리샤,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"아버지의 관심을 받기 위해 필사적으로 노력했다.
그러나 이복 여동생을 독살했다는 누명을 쓰고 가문에서 쫓겨났다.
살기 위해 온갖 일을 하다가 죽을 뻔한 순간… 전생이 떠올랐다.
그리고 알게 되었다.
이 세상은 이복 여동생이 주인공인 역하렘 게임 속이었단 걸!
설상가상 내 역할은….

‘…주인공을 살리기 위한 소모품?’

거부하면 주인공 친위대가 칼을 들고 쫓아올 예정.
15세 미성년자로 뒷배 하나 없는 내가 그걸 어떻게 막겠는가.
이렇게 되면 어쩔 수 없다.

‘아빠를 교체하는 수밖에.’

교체될 아빠로 선택한 사람은 대륙 최고 암살단의 단주.

“아빠─!”
“뭐냐, 넌.”
“…로 모시겠습니다, 나리. 저 좀 키워주세요.”

사실은 공작의 숨겨진 아들이다.
잘 부탁합니다.

*

‘음식으로 정신을 팔리게 해서 날 공격하려는 것인가.’
가소롭다.
뼈에 가죽이 겨우 달라붙은 것 같은 마른 손 따위는 위협이 되지 않는다.
그때, 유스테아는 품속에서 재빠르게 무언가를 꺼냈다.
아슬란이 그 애를 제압하려던 찰나.
유스테아는 슥, 무언가를 내밀었다.
“몰래 만들었습니다. …소시지.”
“….”
대체 이 애는 뭐지?
하지만 하나만은 알겠다.
“저 자식 솥 들고 튄다!”
“잡히면 죽었어!”
…이 소시지가 엄청나게 맛있을 거란 것쯤은.
아슬란이 소시지를 받아들었다.

#가족물 #생존물 #약요리물 #옛날아빠후회물 #새아빠사랑물 #새할아버지도사랑물"
W006,6,진짜 딸이지만 공작가로 돌아가기 싫습니다,Rana,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"입양된 여주가 집안에서 온갖 핍박을 당한 끝에
마침내 시원하게 복수하는 가족 후회물에 빙의했다.

내 역할은 ‘진짜 딸.’
내내 실종되어 있다가 타이밍 좋게 가문에 돌아옴으로써
‘가짜 딸’인 여주를 궁지로 몰아가는 악녀다.

‘응, 안 돌아가.’

여주에게 처절하게 복수를 당하기도 싫고,
날 사랑으로 키워 준 양어머니 곁을 떠나기도 싫다.
그렇게 공작가와는 최대한 거리를 두며 살아가려고 했는데.

‘왜 체칠리아가 여기 있는 거야!’

하필이면 여주와 마주쳐 버렸다?!

#진짜딸X가짜딸"
W007,7,죽었어야 할 남편이 돌아왔다,린아(潾娥),Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"남주의 악덕 계모로 빙의했다.
원래라면 남주가 어릴 때 남편이 죽고 모든 재산을 들고 도망치는 역할이다.
그래서 온갖 고생을 하며 자란 남주의 손에 죽게 되는.

내가 왜 그래야 돼. 이왕이면 착한 계모 하기로 했다.
그 김에 곧 죽을 남편에게도 착한 아내가 되면 좋겠지?

“왜 그런 눈으로 보는 거지?”
“더 많이 먹어요, 체레스. 이건 특히 눈에 좋고, 이건 단백질이 많아서 근육 생성에 좋아요.”

잘 먹고 죽은 귀신이 때깔도 좋다잖아.
그런데 좀 잘해줬다고 남편이 이상한 오해를 한다.

“이런다고 달라지는 건 없어. 우리 사이에 아이는 없을 거야. 내가 당신을 사랑하는 일도 없을 거고.”
“네, 전 괜찮아요. 바라지도 않아.”

남편이 묘한 표정으로 나를 본다.
저 잘생긴 남자가 곧 죽는다는 거잖아. 인류의 손실이다. 손실.

***

결국 남편을 전쟁터로 떠나보내고, 나는 호적상의 아들을 데리고 도망쳤다.
아이를 보호하기 위해선 이게 최선이었다.
잘 키워서 제자리로 돌려보내 주리라!

그런데 3년 뒤, 죽었어야 할 남편이 돌아왔다.

“내가 너무 늦은 건 아니겠지, 로아나. 그간 정말 고생 많았어. 정말…… 보고 싶었다.”

생각지도 못한 멜로 눈빛을 하고서.

“앞으로 절대 당신 곁을 떠나는 일은 없을 거야. 죽어서도.”"
W008,8,힘숨찐 어린이가 아빠를 찾습니다,김구슬,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"종로구.
네 살의 어느 날, 아스티에에게 아빠의 사망통지서가 날아들었다.

「장사 등에 관한 법률 제12조제1항의 규정에 의거 무연고 사망자의 시신을 처리하고, 아래와 같이 공고하오니 연고자는 봉안된 유골을 인수하시기 바랍니다.」

매일 이상한 얘기만 하던 아빠였다.
자기가 탈로치움이라는 제국에서 왔고,
티에의 고향도 거기라고 믿던 아빠.

“아빠는 티에랑 오래오래 살 거야. 언젠가는 꼭 고향에 돌아가서, 훨씬 넓고 깨끗한 집에서 우리 티에 웃게 해줄 거거든.”

고향에 돌아간다더니, 웃게 해준다더니.
결국 아빠는 티에만 두고 가버렸다.

그런데,
유품함을 뒤지던 도중 처음 보는 생명체가 나타났다?

[내가 살려 줄까?]
“도, 돌멩이가 말을…….”
[네가 원한다면 되돌려 줄게. 네가 태어난 곳. 네가 원래 있었어야 할 곳. 그 남자가 살아 있는 곳으로.]

아스티에는 마지막 기회를 얻었다.
이제 아빠도 살리고, 원래의 고향으로 돌아갈 수도 있다!
그러니 앞으로는 꽃길만 걸을 거라고 생각했는데.

***

“솔직히 언제쯤 보게 되려나 궁금하긴 했는데.”

돌아와 힘들게 정착한 이세계.
마침내 재회한 과거의 아빠가 어딘가 좀 이상하다.

“남의 밥줄 다 끊어 놓고 표정이 제법 뻔뻔한 걸, 사령왕.”

아빠, 성기사였다며?

“슬슬 지겨우니까 단판해. 지는 놈이 일 접고 이 판 뜨는 걸로.”

용병.
그것도 매일같이 전장을 구르고, 무시무시한 마물들을 야심 차게 썰고 다닌다는 하이랭크급 용병단주.

“오늘 내가 너 죽이면 고용 1위 되찾는 거잖아?”

아무래도 아빠가 뭔가를 숨겼던 것 같다.
그것도 아주 크고 엄청난 걸."
W009,9,너에게 빼앗을 왕관,윌브라이트,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"둘째 아이가 들어선 부른 배를 안고, 남편의 결혼 소식을 들었다.
평생을 바쳐 사랑한 남편의 뼈아픈 배신이었다.

“아하하! 왕녀랍시고 잘난척하더니 네 꼴을 봐.
발디나는 멸망했고, 네 오라비는 마수에게 갈기갈기 찢겨 죽었지. 너 따위 멍청한 계집 하나 때문에!”

오라비는 죽고, 조국은 멸망했다.
배아파 낳은 아이들마저, 제 친아비의 손에 죽었다.
이 모든 게 숙부 가족과 남편의 계략이란 걸 깨닫고 독을 먹은 그 순간.

“다시… 돌아왔어.”

13년 전 과거로 돌아왔다.
치열한 황위 쟁탈에서 남편을 황제로 세운 킹메이커로서의 경험과,
미래에 일어날 모든 일들의 기억을 지닌 채로.

메데이아는 광소하며 깨달았다. 
신께서 제 마지막 부탁을 들어주셨다는 걸.

“클라우디오.”
숙부네에게 주어졌던 영광은 전부 빛을 잃을 것이다.

“이아손.”
그녀의 남편이 바랐던 찬란한 왕관은 빼앗길 것이다.

“내가 돌아왔어.”
한 생을 돌아온 예언이 음산하게 빛을 밝혔다. 

복수를 위해, 메데이아는 수단과 방법을 가리지 않을 예정이었다."
W010,10,고립된 후작 영애는 먹고살고 싶어서,유나진,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"아버지의 장례식 날 나타난 이복오빠.

""유언장에 따라, 세어스 후작위는 행방불명이셨던 장남에게 갑니다.""

그리고 그에게 후작위를 빼앗기던 날.
브리사는 전생을 떠올린다.

이 세상은 소설 속이고, 자신은 환생했으며,
곧 영지가 고립돼 굶어 죽을 예정이라는 것을!

'이게 망상이 아니라 진짜 미래가 확실하다면...'

그동안 '귀족답지 못하다'라고 욕할까 봐
정체를 숨겨왔지만, 어쩔 수 없지.
전생에서부터 축적한 지식을 활용하는 수밖에!

나는 기사단을 모아 놓고 비장하게 물었다.

""이 중에서 감자 농사 지어 본 사람?""

씨감자에 우리의 생사가 달렸거든."
W011,11,어느 날 엄마를 주웠다,도도,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"“엄마!”

도둑질을 들켜 죽도록 매질을 당하던 순간.
일곱 살 이반은 제 앞에 선 여자를 한눈에 알아보았다.

그녀가 불쌍한 것들에게 손을 내밀며 자신의 고상함을 과시하는 부류라는 것을.
그러니 나 대신 돈을 치러 주겠지.

“죄송해요, 엄마. 두 번 다신 안 그럴게요.”

이반은 온 힘을 다해 여자에게 매달렸고,
여자는 예상대로 빵값을 내주었다.
그러니 이젠 두 번 다신 남의 것을 훔치지 말라 같잖은 충고나 늘어놓을 줄 알았더니.

“그만 집에 가자, 이반.”

마차를 타고 집까지 따라온 여자는 집을 깨끗이 치우고 밥까지 차려 주었다.

“왜 집 치웠어요? 밥은 왜 하고요?”
“말했잖아. 엄마가 잘해 보겠다고.”

설마…….
이반은 여자를 찬찬히 훑어보았다.

“이반?”
“…….”

“……엄마한테 화났니?”

이반의 입꼬리가 잘게 떨렸다.
하필. 제가 붙잡은 게 미친 여자일 줄이야."
W012,12,악녀는 백만장자 해결사,정연,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"제국에서도 손꼽히는 대부호, 로젠 공작가에는 유일한 오점이 있다.
바로 제국 최악의 악녀 아리스티나가 하필 공작의 외동딸이라는 점!

결국 황태자의 약혼녀 독살 미수로 자택에 유폐되고,
정체불명의 범인에게 살해당한 순간, '내'가 그녀의 몸에 빙의한다.
다행히 누명은 벗었지만 그보다 중요한 건….

'아리스티나를 죽인 범인이 누구지?'

길 가다 돌을 맞아도 이상하지 않은 인성 덕분에 
도처에 깔린 모두가 예비 살인범으로 의심되는 상황.

'절대 두 번 죽을 순 없지!'

딸 때문에 평생 속 썩어온 병약한 공작의 신뢰를 회복하고,
불순한 의도로 주변에 선행을 저지르며 다녔더니.

""아리스티나! 우리에겐 이 무도회의 분위기를 띄울 의무가 있어!""
풀어 헤쳐진 앞섶을 여미지도 않고, 덩치 큰 충견처럼 구는 2황자부터.

""머리 풀고 날뛰어서 아가씨들을 쫓아 주겠다면서요? 지금 바로 그게 필요합니다.""
예의 바르고 정중한 가면을 내 앞에서만 무너뜨리는 황태자와.

""그날 무도회에서 나를 버리고 누구한테 간 거지?""
종교인답지 않은 까질한 성질에, 파면 팔수록 비밀만 나오는 신성 교단의 수장까지.

가장 유력한 용의자 후보들이 내 쪽으로 돌아서도 너무 돌아섰다.
하지만 평화도 잠시, 드디어 진짜 살인범이 정체를 드러내는데…."
W013,13,악당을 납치한 5살 스파이입니다,바다C,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"포즈 가문이 키운 5살짜리 스파이, 아이샤.

“첫 번째 임무다. 칼립스 크로스트 공작의 행방불명된 딸이 되거라.”

크로스트 공작가를 무너뜨리기 위해 투입된 그녀의 몸속에…
인생 2회차인 내가 들어왔다.
가짜 딸 행세나 하다 원작처럼 죽을 수는 없지!
스파이에서 벗어나고자 진짜 딸의 행방을 알려 주고, 다방면으로 아군이라는 걸 인정받는 나날.
포즈 가문으로 돌아가지 않으려고 양아버지도 골라 놨다.

“제 능력이라면 S급 용병이 될 수도 있어요. 저라는 황금 씨앗을 키워 보시면 어떨까요?”

크로스트 저택에서 가장 친근해진 정원사 아저씨로!
그리고 드디어 노력이 결실을 맺어 입양 신청서를 받은 날.

“이제 정식으로 소개해야겠지.”

늘 쓰고 다니던 로브를 벗은 아저씨가 왜 저렇게 잘생겼지?
아저씨 방은 왜 귀족의 것처럼 휘황찬란하고, 우르르 들어와 무릎을 꿇는 사람들은 또 뭐고-

“…아저씨, 누구세요?”

#스파이여주 #성장물 #가족물 #육아물 #오해/복수 #사이다 #인외존재남주"
W014,14,버려진 악녀가 이참에 다 가짐,참새대리,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"명문가의 폐급 악녀에 빙의했다.
가족한테 착취당하고, 여주를 위해 버림받는 악녀!

‘튄다. 나 없이 잘해 봐라, 이것들아.’

그런데 걸렸다.
전쟁을 일으킬 미인 악당 황자한테.

""당신한테 각인해 버렸잖아요. 우리 이제 어떡할 거야.""

일단 네가 일으킬 전쟁부터 막을 것이다.
내 작고 소중하고 소박한 노후를 위해서.

* * *

알 수가 없네.
난 최소한만 하는데 돈, 명예, 인맥이 자꾸 들어온다.
그리고 이 여우 같은 악당은 또 왜 이럴까.

""당신 없으면 안 되는 몸으로 만들고서 어딜 가요.""

혼자 잘 살겠다는 게 이렇게 힘든 일인가?"
W015,15,장녀는 꽃길을 걷는다,루시,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"아들을 원했던 부모에게 장녀란 쓸모 있지도, 사랑스럽지도 않은 존재였다.
틸로드 가문의 장녀로 태어나 언제나 희생을 강요당한 라디스.

“너는 틸로드 가문의 장녀야. 집안의 기둥인 남동생의 미래를 위해 노력하는 것이 당연하잖니?”
“원래 장녀는 살림 밑천이라잖니?”
“데이빗 대신 마물 사냥을 가렴. 결혼도 못 한 딸이 계속 집에 머무는 건 집안의 수치이지만, 네가 그렇게 한다면 계속 이 집에 있도록 허락해 주마.”

자신의 자리를 만들기 위해, 한 조각의 사랑이라도 얻기 위해 노력했다.
계속 견디다 보면 언젠가는 행복이 올 거라고 믿었다.

그러나 온몸이 부서지도록 노력한 끝에 돌아온 것은 결국 가족들의 배신이었다.

“다 헛된 꿈이었어. 부모님을 위해, 동생들을 위해, 가족을 위해, 가문을 위해 살지 말았어야 했어. 나를 위해 살았어야 했어!”

끝이라 여겼던 마지막 순간.

라디스는 16살로 회귀했다."
W016,16,악녀가 정체를 숨겼더니 다들 착각함,멧쥐,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"[축하드립니다! <자유도> 스탯이 생성되었습니다.]

100번째 회귀를 달성하자, 그간 보이지 않던 상태창이 나타났다.
무려 99회차 동안 마음대로 할 수 있는 게 없어 악녀로 살다 죽었는데, 이제 와 퀘스트를 해결해 스탯을 쌓으면 자유롭게 살 수 있다고?

[제한 조건: 신분을 들킬 시 보상 50% 감소]

이때 악녀가 취해야 할 올바른 행동은?
1. 그냥 하던 대로 접시 브레이커 악녀 되기
2. 아무도 모르게 퀘스트 해결하며 스탯 획득하기

“흑, 정말 감사합니다! 제 평생의 은인이셔요!”
“동생 입학금을 내주시다니요!”

…아니, 내가 한 일인 걸 대체 어떻게 안 거야?

[칭호 <겉바속촉 공녀님>을(를) 획득하셨습니다.]

그렇게 난 제국에서 제일가는 착한 악녀가 되었다.
이런 걸 원한 건 아닌데... 아무튼 심기일전하여 열심히 스탯을 쌓는 도중 떨어진 메인 퀘스트.

[2황자 ‘라키엘 베른하르트’를 황제로 옹립하십시오.]
 
일이 점점 커지지만 이겨낸다!
나는 정신력 스탯 3,259(S++)의 보유자니까!

그런데.

“도대체 나한테 무슨 짓을 한 거지?”
“…네? 제가 뭘요?”
“젠장, 미치겠군. 스토커도 아니고... 빨리 오기나 하도록. 집으로 데려다 줄 테니.”
“네에에?”

엑스트라인 줄 알았던 2황자가 자꾸만 들러붙는다."
W017,17,"대공님, 아내 덕질을 멈춰 주세요!",랭브,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"“대공 전하는…… 아내 중독증 말기이십니다.”
“헛소리.”
“심각하군요. 이대로라면 아내 바보, 아니 아내 등신이 되고 말 겁니다.”

* * *

“저를 사랑하지 않는다는 조건으로 결혼을 해 주세요.”
괴물 대공과 계약 결혼했다.
그런데…….

“이상하군. 넌 어떻게 머리카락 한 올까지 귀여울 수가 있는 거지?”

그가 나를 열렬히 덕질하기 시작했다.

“왜. 뭐가 문제야. 사랑하지만 않으면 된다며.”

아무래도 계약 조건을 잘못 정한 것 같다.

#계약결혼 #선결혼후연애 #초월적존재 #운명적사랑 #다정남 #직진남"
W018,18,세상이 날 시한부로 착각한다,연해솜,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"결혼식 당일, 이곳이 책 속 세계인 걸 깨달았다.
덤으로 내 미래가 사망 엔딩인 것도.
살기 위해 망해가는 시댁을 열심히 뜯어고쳤더니 대공가 사람들이 거하게 착각을 시작했다.

“우리 새아가, 항상 몸조심, 또 몸조심해야 한다. 알겠니?”

저, 시한부 아닌데요?
각혈하는 아픈 몸으로도 시댁을 살리기 위해 고군분투하는 며느리…… 아닌데요?!

“부인, 잘못했어요.”
“절 버리고 가지 마세요. 제가 잘 할게요.”

게다가 남편 슈벨까지 이상해졌다.
우리 쇼윈도 부부 아니었어? 왜 이러는데?

“……부인, 지금 제 앞에서 다른 남자를 칭찬하신 건가요?”

아니, 그놈이 너잖아! 왜 본인을 질투하는 거냐고!

#로코 #착각계 #청순가련(X), 청순가증(O)
#재벌상단주여주 #내숭도련님남주"
W019,19,짝사랑이 너무 재밌어서 곤란하다,여로은,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"""나는 그대를 사랑할 생각이 없다.""
""넵넵, 알겠습니다!""

결혼 첫날 밤, 미친 통제광이라는 '괴물 대공' 남편에게 깔끔하게 차였다.
하지만? 상관 없다.

“그런데 전 계속 좋아할게요!”

짝사랑의 3대 적폐 '민폐, 피해, 스토킹' 3종 세트 없이!
나 혼자 '즐겁고 유익하게' 좋아하겠어!

그렇게 짝사랑도 즐기고, 건축 능력으로 북부를 재건하면서, 민심까지 덤으로 얻어 버렸더니... 

남편이 이상해졌다?

***

""도망칠 생각이면 지금 가. 더 이상은 나도 못 멈춰.""
독점욕이 가득한 눈빛에, 여차하면 감금이라도 할 기세였다.
뭐야?!
이건, 너무...
'좋은데?'
도망? 죽어도 안 가겠습니다!

#그런데 실수로 도망감

#로맨스코미디 #철벽남주X햇살여주 #계약결혼 #선결혼후연애 #능력여주 #영지재건물 #관계역전"
W020,20,겨울잠에서 깨어나니 남편이 생겼다,미르윤,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"[볼티어 백작가 하인 모집]
성별 및 나이 무관. 신체가 건강하고 튼튼한 이를 선호.

겨울잠을 자기 전 생활비를 벌기 위해
백작가 하녀로 취직한 불곰 수인 클레어.

도련님의 광증을 포함한 집안 문제를
무력(?)으로 평정하는 등 열일했으나,
어디까지나 꿀잠을 위한 전초전이었다.
그런데 늘어지게 자고 일어났더니······.

“있지, 클레어. 결혼식은 언제가 좋아?”

이게 그 병약했던 도련님?

벌어진 셔츠 사이로 보이는 잔뜩 성난 근육에
클레어는 마른침을 삼키며 슬그머니 눈을 피했다."
